Comparison	Tracts	Bases	n
GCT_CH_AR_01	   201	 1768582	 24
GCT_CH_AR_02	   165	  736384	 24
GCT_CH_AR_03	  2215	 4313636	 24
GCT_CH_AR_04	   602	 1208621	 24
GCT_CH_AR_05	   377	  876941	 24
GCT_CH_AR_06	    97	  259516	 24
GCT_CH_AR_07	   805	 1462494	 24
GCT_CH_AR_08	  2316	 3314151	 24
GCT_CH_AR_09	   385	  892056	 24
GCT_CH_AR_10	   337	  823970	 24
GCT_CH_AR_11	   768	 1495096	 24
GCT_CH_AR_12	   170	  394367	 24
GCT_CH_AR_13	    77	  182266	 24
GCT_CH_AR_14	   766	 2059712	 24
GCT_CU_AR_01	   243	 1768582	 18
GCT_CU_AR_02	   169	  736384	 18
GCT_CU_AR_03	  1893	 4313636	 18
GCT_CU_AR_04	   371	 1208621	 18
GCT_CU_AR_05	   195	  876941	 18
GCT_CU_AR_06	    57	  259516	 18
GCT_CU_AR_07	   345	 1462494	 18
GCT_CU_AR_08	  1286	 3314151	 18
GCT_CU_AR_09	   271	  892056	 18
GCT_CU_AR_10	   160	  823970	 18
GCT_CU_AR_11	   530	 1495096	 18
GCT_CU_AR_12	   144	  394367	 18
GCT_CU_AR_13	    40	  182266	 18
GCT_CU_AR_14	   782	 2059712	 18
GCT_PP_AR_01	   139	 1768582	 25
GCT_PP_AR_02	   152	  736384	 25
GCT_PP_AR_03	  1474	 4313636	 25
GCT_PP_AR_04	   404	 1208621	 25
GCT_PP_AR_05	   192	  876941	 25
GCT_PP_AR_06	    39	  259516	 25
GCT_PP_AR_07	   391	 1462494	 25
GCT_PP_AR_08	  1143	 3314151	 25
GCT_PP_AR_09	   171	  892056	 25
GCT_PP_AR_10	   301	  823970	 25
GCT_PP_AR_11	   477	 1495096	 25
GCT_PP_AR_12	    44	  394367	 25
GCT_PP_AR_13	    26	  182266	 25
GCT_PP_AR_14	   254	 2059712	 25
GCT_ST_AR_01	   158	 1768582	 23
GCT_ST_AR_02	   115	  736384	 23
GCT_ST_AR_03	  1218	 4313636	 23
GCT_ST_AR_04	   431	 1208621	 23
GCT_ST_AR_05	   160	  876941	 23
GCT_ST_AR_06	    54	  259516	 23
GCT_ST_AR_07	   340	 1462494	 23
GCT_ST_AR_08	   862	 3314151	 23
GCT_ST_AR_09	   166	  892056	 23
GCT_ST_AR_10	   291	  823970	 23
GCT_ST_AR_11	   518	 1495096	 23
GCT_ST_AR_12	   101	  394367	 23
GCT_ST_AR_13	    60	  182266	 23
GCT_ST_AR_14	   411	 2059712	 23
GCT_TL_AR_01	   167	 1768582	 24
GCT_TL_AR_02	   131	  736384	 24
GCT_TL_AR_03	  1369	 4313636	 24
GCT_TL_AR_04	   218	 1208621	 24
GCT_TL_AR_05	    99	  876941	 24
GCT_TL_AR_06	    27	  259516	 24
GCT_TL_AR_07	   276	 1462494	 24
GCT_TL_AR_08	   809	 3314151	 24
GCT_TL_AR_09	   144	  892056	 24
GCT_TL_AR_10	    59	  823970	 24
GCT_TL_AR_11	   339	 1495096	 24
GCT_TL_AR_12	    97	  394367	 24
GCT_TL_AR_13	    29	  182266	 24
GCT_TL_AR_14	   506	 2059712	 24
GCT_AR_CH_01	    75	 1768582	 24
GCT_AR_CH_02	    68	  736384	 24
GCT_AR_CH_03	   983	 4313636	 24
GCT_AR_CH_04	   354	 1208621	 24
GCT_AR_CH_05	   470	  876941	 24
GCT_AR_CH_06	    33	  259516	 24
GCT_AR_CH_07	   432	 1462494	 24
GCT_AR_CH_08	  1169	 3314151	 24
GCT_AR_CH_09	   294	  892056	 24
GCT_AR_CH_10	   197	  823970	 24
GCT_AR_CH_11	   390	 1495096	 24
GCT_AR_CH_12	   100	  394367	 24
GCT_AR_CH_13	    54	  182266	 24
GCT_AR_CH_14	   208	 2059712	 24
GCT_CU_CH_01	   269	 1768582	 12
GCT_CU_CH_02	   155	  736384	 12
GCT_CU_CH_03	  1888	 4313636	 12
GCT_CU_CH_04	   371	 1208621	 12
GCT_CU_CH_05	   526	  876941	 12
GCT_CU_CH_06	    47	  259516	 12
GCT_CU_CH_07	   528	 1462494	 12
GCT_CU_CH_08	  1212	 3314151	 12
GCT_CU_CH_09	   259	  892056	 12
GCT_CU_CH_10	   277	  823970	 12
GCT_CU_CH_11	   358	 1495096	 12
GCT_CU_CH_12	    72	  394367	 12
GCT_CU_CH_13	    83	  182266	 12
GCT_CU_CH_14	   489	 2059712	 12
GCT_PP_CH_01	    65	 1768582	 19
GCT_PP_CH_02	    85	  736384	 19
GCT_PP_CH_03	   897	 4313636	 19
GCT_PP_CH_04	   318	 1208621	 19
GCT_PP_CH_05	   681	  876941	 19
GCT_PP_CH_06	    14	  259516	 19
GCT_PP_CH_07	   194	 1462494	 19
GCT_PP_CH_08	   587	 3314151	 19
GCT_PP_CH_09	   165	  892056	 19
GCT_PP_CH_10	    97	  823970	 19
GCT_PP_CH_11	   149	 1495096	 19
GCT_PP_CH_12	    21	  394367	 19
GCT_PP_CH_13	    13	  182266	 19
GCT_PP_CH_14	   152	 2059712	 19
GCT_ST_CH_01	    51	 1768582	 17
GCT_ST_CH_02	    44	  736384	 17
GCT_ST_CH_03	   724	 4313636	 17
GCT_ST_CH_04	   109	 1208621	 17
GCT_ST_CH_05	   101	  876941	 17
GCT_ST_CH_06	    21	  259516	 17
GCT_ST_CH_07	   192	 1462494	 17
GCT_ST_CH_08	   448	 3314151	 17
GCT_ST_CH_09	   117	  892056	 17
GCT_ST_CH_10	    61	  823970	 17
GCT_ST_CH_11	   133	 1495096	 17
GCT_ST_CH_12	    15	  394367	 17
GCT_ST_CH_13	     7	  182266	 17
GCT_ST_CH_14	   172	 2059712	 17
GCT_TL_CH_01	    85	 1768582	 18
GCT_TL_CH_02	    78	  736384	 18
GCT_TL_CH_03	   932	 4313636	 18
GCT_TL_CH_04	   312	 1208621	 18
GCT_TL_CH_05	   635	  876941	 18
GCT_TL_CH_06	    25	  259516	 18
GCT_TL_CH_07	   323	 1462494	 18
GCT_TL_CH_08	   779	 3314151	 18
GCT_TL_CH_09	   169	  892056	 18
GCT_TL_CH_10	   120	  823970	 18
GCT_TL_CH_11	   175	 1495096	 18
GCT_TL_CH_12	    50	  394367	 18
GCT_TL_CH_13	    56	  182266	 18
GCT_TL_CH_14	   202	 2059712	 18
GCT_AR_PP_01	    87	 1768582	 25
GCT_AR_PP_02	    77	  736384	 25
GCT_AR_PP_03	  1247	 4313636	 25
GCT_AR_PP_04	   292	 1208621	 25
GCT_AR_PP_05	   167	  876941	 25
GCT_AR_PP_06	    44	  259516	 25
GCT_AR_PP_07	   246	 1462494	 25
GCT_AR_PP_08	   885	 3314151	 25
GCT_AR_PP_09	   222	  892056	 25
GCT_AR_PP_10	   205	  823970	 25
GCT_AR_PP_11	   296	 1495096	 25
GCT_AR_PP_12	    25	  394367	 25
GCT_AR_PP_13	    20	  182266	 25
GCT_AR_PP_14	   172	 2059712	 25
GCT_CH_PP_01	    89	 1768582	 19
GCT_CH_PP_02	    64	  736384	 19
GCT_CH_PP_03	   472	 4313636	 19
GCT_CH_PP_04	   215	 1208621	 19
GCT_CH_PP_05	   160	  876941	 19
GCT_CH_PP_06	    36	  259516	 19
GCT_CH_PP_07	   197	 1462494	 19
GCT_CH_PP_08	   762	 3314151	 19
GCT_CH_PP_09	   182	  892056	 19
GCT_CH_PP_10	   139	  823970	 19
GCT_CH_PP_11	   348	 1495096	 19
GCT_CH_PP_12	    79	  394367	 19
GCT_CH_PP_13	    42	  182266	 19
GCT_CH_PP_14	   364	 2059712	 19
GCT_CU_PP_01	   222	 1768582	 13
GCT_CU_PP_02	   116	  736384	 13
GCT_CU_PP_03	   594	 4313636	 13
GCT_CU_PP_04	   210	 1208621	 13
GCT_CU_PP_05	   189	  876941	 13
GCT_CU_PP_06	    46	  259516	 13
GCT_CU_PP_07	   137	 1462494	 13
GCT_CU_PP_08	   569	 3314151	 13
GCT_CU_PP_09	   211	  892056	 13
GCT_CU_PP_10	   121	  823970	 13
GCT_CU_PP_11	   323	 1495096	 13
GCT_CU_PP_12	    63	  394367	 13
GCT_CU_PP_13	    12	  182266	 13
GCT_CU_PP_14	   420	 2059712	 13
GCT_ST_PP_01	    57	 1768582	 18
GCT_ST_PP_02	    37	  736384	 18
GCT_ST_PP_03	   159	 4313636	 18
GCT_ST_PP_04	    76	 1208621	 18
GCT_ST_PP_05	    62	  876941	 18
GCT_ST_PP_06	    24	  259516	 18
GCT_ST_PP_07	    82	 1462494	 18
GCT_ST_PP_08	   299	 3314151	 18
GCT_ST_PP_09	    82	  892056	 18
GCT_ST_PP_10	    74	  823970	 18
GCT_ST_PP_11	   178	 1495096	 18
GCT_ST_PP_12	     4	  394367	 18
GCT_ST_PP_13	     2	  182266	 18
GCT_ST_PP_14	   134	 2059712	 18
GCT_TL_PP_01	    62	 1768582	 19
GCT_TL_PP_02	    48	  736384	 19
GCT_TL_PP_03	   247	 4313636	 19
GCT_TL_PP_04	   207	 1208621	 19
GCT_TL_PP_05	   180	  876941	 19
GCT_TL_PP_06	    23	  259516	 19
GCT_TL_PP_07	   130	 1462494	 19
GCT_TL_PP_08	   832	 3314151	 19
GCT_TL_PP_09	   262	  892056	 19
GCT_TL_PP_10	    44	  823970	 19
GCT_TL_PP_11	   161	 1495096	 19
GCT_TL_PP_12	    33	  394367	 19
GCT_TL_PP_13	    14	  182266	 19
GCT_TL_PP_14	   163	 2059712	 19
GCT_AR_ST_01	    62	 1768582	 23
GCT_AR_ST_02	    39	  736384	 23
GCT_AR_ST_03	   545	 4313636	 23
GCT_AR_ST_04	   310	 1208621	 23
GCT_AR_ST_05	   169	  876941	 23
GCT_AR_ST_06	    46	  259516	 23
GCT_AR_ST_07	   261	 1462494	 23
GCT_AR_ST_08	   922	 3314151	 23
GCT_AR_ST_09	   206	  892056	 23
GCT_AR_ST_10	   275	  823970	 23
GCT_AR_ST_11	   224	 1495096	 23
GCT_AR_ST_12	    34	  394367	 23
GCT_AR_ST_13	    27	  182266	 23
GCT_AR_ST_14	   195	 2059712	 23
GCT_CH_ST_01	    43	 1768582	 17
GCT_CH_ST_02	    39	  736384	 17
GCT_CH_ST_03	   797	 4313636	 17
GCT_CH_ST_04	   284	 1208621	 17
GCT_CH_ST_05	   143	  876941	 17
GCT_CH_ST_06	    59	  259516	 17
GCT_CH_ST_07	   254	 1462494	 17
GCT_CH_ST_08	   828	 3314151	 17
GCT_CH_ST_09	   222	  892056	 17
GCT_CH_ST_10	   336	  823970	 17
GCT_CH_ST_11	   345	 1495096	 17
GCT_CH_ST_12	   100	  394367	 17
GCT_CH_ST_13	    29	  182266	 17
GCT_CH_ST_14	   307	 2059712	 17
GCT_CU_ST_01	    43	 1768582	 11
GCT_CU_ST_02	    72	  736384	 11
GCT_CU_ST_03	   590	 4313636	 11
GCT_CU_ST_04	   219	 1208621	 11
GCT_CU_ST_05	   147	  876941	 11
GCT_CU_ST_06	    31	  259516	 11
GCT_CU_ST_07	   136	 1462494	 11
GCT_CU_ST_08	   680	 3314151	 11
GCT_CU_ST_09	   164	  892056	 11
GCT_CU_ST_10	   209	  823970	 11
GCT_CU_ST_11	   204	 1495096	 11
GCT_CU_ST_12	    59	  394367	 11
GCT_CU_ST_13	    16	  182266	 11
GCT_CU_ST_14	   439	 2059712	 11
GCT_PP_ST_01	    86	 1768582	 18
GCT_PP_ST_02	    96	  736384	 18
GCT_PP_ST_03	   828	 4313636	 18
GCT_PP_ST_04	   207	 1208621	 18
GCT_PP_ST_05	   114	  876941	 18
GCT_PP_ST_06	    27	  259516	 18
GCT_PP_ST_07	   148	 1462494	 18
GCT_PP_ST_08	   663	 3314151	 18
GCT_PP_ST_09	   105	  892056	 18
GCT_PP_ST_10	   175	  823970	 18
GCT_PP_ST_11	   174	 1495096	 18
GCT_PP_ST_12	    28	  394367	 18
GCT_PP_ST_13	    25	  182266	 18
GCT_PP_ST_14	   223	 2059712	 18
GCT_TL_ST_01	    46	 1768582	 17
GCT_TL_ST_02	    24	  736384	 17
GCT_TL_ST_03	   399	 4313636	 17
GCT_TL_ST_04	   128	 1208621	 17
GCT_TL_ST_05	    75	  876941	 17
GCT_TL_ST_06	    11	  259516	 17
GCT_TL_ST_07	    89	 1462494	 17
GCT_TL_ST_08	   506	 3314151	 17
GCT_TL_ST_09	    79	  892056	 17
GCT_TL_ST_10	    89	  823970	 17
GCT_TL_ST_11	   169	 1495096	 17
GCT_TL_ST_12	    54	  394367	 17
GCT_TL_ST_13	    12	  182266	 17
GCT_TL_ST_14	   292	 2059712	 17
GCT_AR_TL_01	    73	 1768582	 24
GCT_AR_TL_02	    55	  736384	 24
GCT_AR_TL_03	  1138	 4313636	 24
GCT_AR_TL_04	   363	 1208621	 24
GCT_AR_TL_05	   250	  876941	 24
GCT_AR_TL_06	    66	  259516	 24
GCT_AR_TL_07	   359	 1462494	 24
GCT_AR_TL_08	   984	 3314151	 24
GCT_AR_TL_09	   269	  892056	 24
GCT_AR_TL_10	   164	  823970	 24
GCT_AR_TL_11	   399	 1495096	 24
GCT_AR_TL_12	   106	  394367	 24
GCT_AR_TL_13	    56	  182266	 24
GCT_AR_TL_14	   334	 2059712	 24
GCT_CH_TL_01	    90	 1768582	 18
GCT_CH_TL_02	    77	  736384	 18
GCT_CH_TL_03	   765	 4313636	 18
GCT_CH_TL_04	   227	 1208621	 18
GCT_CH_TL_05	   152	  876941	 18
GCT_CH_TL_06	    71	  259516	 18
GCT_CH_TL_07	   297	 1462494	 18
GCT_CH_TL_08	   668	 3314151	 18
GCT_CH_TL_09	   190	  892056	 18
GCT_CH_TL_10	   193	  823970	 18
GCT_CH_TL_11	   290	 1495096	 18
GCT_CH_TL_12	    71	  394367	 18
GCT_CH_TL_13	    68	  182266	 18
GCT_CH_TL_14	   354	 2059712	 18
GCT_CU_TL_01	   269	 1768582	 12
GCT_CU_TL_02	   122	  736384	 12
GCT_CU_TL_03	  1599	 4313636	 12
GCT_CU_TL_04	   215	 1208621	 12
GCT_CU_TL_05	   173	  876941	 12
GCT_CU_TL_06	    75	  259516	 12
GCT_CU_TL_07	   319	 1462494	 12
GCT_CU_TL_08	   538	 3314151	 12
GCT_CU_TL_09	   219	  892056	 12
GCT_CU_TL_10	   337	  823970	 12
GCT_CU_TL_11	   574	 1495096	 12
GCT_CU_TL_12	    75	  394367	 12
GCT_CU_TL_13	    77	  182266	 12
GCT_CU_TL_14	   565	 2059712	 12
GCT_PP_TL_01	    75	 1768582	 19
GCT_PP_TL_02	    82	  736384	 19
GCT_PP_TL_03	  1054	 4313636	 19
GCT_PP_TL_04	   229	 1208621	 19
GCT_PP_TL_05	   186	  876941	 19
GCT_PP_TL_06	    33	  259516	 19
GCT_PP_TL_07	   203	 1462494	 19
GCT_PP_TL_08	   731	 3314151	 19
GCT_PP_TL_09	   251	  892056	 19
GCT_PP_TL_10	    96	  823970	 19
GCT_PP_TL_11	   161	 1495096	 19
GCT_PP_TL_12	    16	  394367	 19
GCT_PP_TL_13	    10	  182266	 19
GCT_PP_TL_14	   139	 2059712	 19
GCT_ST_TL_01	    60	 1768582	 17
GCT_ST_TL_02	    38	  736384	 17
GCT_ST_TL_03	   682	 4313636	 17
GCT_ST_TL_04	   100	 1208621	 17
GCT_ST_TL_05	    59	  876941	 17
GCT_ST_TL_06	    30	  259516	 17
GCT_ST_TL_07	   124	 1462494	 17
GCT_ST_TL_08	   293	 3314151	 17
GCT_ST_TL_09	    78	  892056	 17
GCT_ST_TL_10	    39	  823970	 17
GCT_ST_TL_11	   109	 1495096	 17
GCT_ST_TL_12	    15	  394367	 17
GCT_ST_TL_13	     6	  182266	 17
GCT_ST_TL_14	   169	 2059712	 17
