Input_File	Analysis_File	Check
01a_AR_CH	01a_AR_CH	Match
01a_AR_CU	01a_AR_CU	Match
01a_AR_PP	01a_AR_PP	Match
01a_AR_ST	01a_AR_ST	Match
01a_AR_TL	01a_AR_TL	Match
01a_CH_CU	01a_CH_CU	Match
01a_CH_TL	01a_CH_TL	Match
01a_PP_CH	01a_PP_CH	Match
01a_PP_CU	01a_PP_CU	Match
01a_PP_TL	01a_PP_TL	Match
01a_ST_CH	01a_ST_CH	Match
01a_ST_CU	01a_ST_CU	Match
01a_ST_PP	01a_ST_PP	Match
01a_ST_TL	01a_ST_TL	Match
01a_TL_CU	01a_TL_CU	Match
01b_AR_CH	01b_AR_CH	Match
01b_AR_CU	01b_AR_CU	Match
01b_AR_PP	01b_AR_PP	Match
01b_AR_ST	01b_AR_ST	Match
01b_AR_TL	01b_AR_TL	Match
01b_CH_CU	01b_CH_CU	Match
01b_CH_TL	01b_CH_TL	Match
01b_PP_CH	01b_PP_CH	Match
01b_PP_CU	01b_PP_CU	Match
01b_PP_TL	01b_PP_TL	Match
01b_ST_CH	01b_ST_CH	Match
01b_ST_CU	01b_ST_CU	Match
01b_ST_PP	01b_ST_PP	Match
01b_ST_TL	01b_ST_TL	Match
01b_TL_CU	01b_TL_CU	Match
01c_AR_CH	01c_AR_CH	Match
01c_AR_CU	01c_AR_CU	Match
01c_AR_PP	01c_AR_PP	Match
01c_AR_ST	01c_AR_ST	Match
01c_AR_TL	01c_AR_TL	Match
01c_CH_CU	01c_CH_CU	Match
01c_CH_TL	01c_CH_TL	Match
01c_PP_CH	01c_PP_CH	Match
01c_PP_CU	01c_PP_CU	Match
01c_PP_TL	01c_PP_TL	Match
01c_ST_CH	01c_ST_CH	Match
01c_ST_CU	01c_ST_CU	Match
01c_ST_PP	01c_ST_PP	Match
01c_ST_TL	01c_ST_TL	Match
01c_TL_CU	01c_TL_CU	Match
01d_AR_CH	01d_AR_CH	Match
01d_AR_CU	01d_AR_CU	Match
01d_AR_PP	01d_AR_PP	Match
01d_AR_ST	01d_AR_ST	Match
01d_AR_TL	01d_AR_TL	Match
01d_CH_CU	01d_CH_CU	Match
01d_CH_TL	01d_CH_TL	Match
01d_PP_CH	01d_PP_CH	Match
01d_PP_CU	01d_PP_CU	Match
01d_PP_TL	01d_PP_TL	Match
01d_ST_CH	01d_ST_CH	Match
01d_ST_CU	01d_ST_CU	Match
01d_ST_PP	01d_ST_PP	Match
01d_ST_TL	01d_ST_TL	Match
01d_TL_CU	01d_TL_CU	Match
01e_AR_CH	01e_AR_CH	Match
01e_AR_CU	01e_AR_CU	Match
01e_AR_PP	01e_AR_PP	Match
01e_AR_ST	01e_AR_ST	Match
01e_AR_TL	01e_AR_TL	Match
01e_CH_CU	01e_CH_CU	Match
01e_CH_TL	01e_CH_TL	Match
01e_PP_CH	01e_PP_CH	Match
01e_PP_CU	01e_PP_CU	Match
01e_PP_TL	01e_PP_TL	Match
01e_ST_CH	01e_ST_CH	Match
01e_ST_CU	01e_ST_CU	Match
01e_ST_PP	01e_ST_PP	Match
01e_ST_TL	01e_ST_TL	Match
01e_TL_CU	01e_TL_CU	Match
01f_AR_CH	01f_AR_CH	Match
01f_AR_CU	01f_AR_CU	Match
01f_AR_PP	01f_AR_PP	Match
01f_AR_ST	01f_AR_ST	Match
01f_AR_TL	01f_AR_TL	Match
01f_CH_CU	01f_CH_CU	Match
01f_CH_TL	01f_CH_TL	Match
01f_PP_CH	01f_PP_CH	Match
01f_PP_CU	01f_PP_CU	Match
01f_PP_TL	01f_PP_TL	Match
01f_ST_CH	01f_ST_CH	Match
01f_ST_CU	01f_ST_CU	Match
01f_ST_PP	01f_ST_PP	Match
01f_ST_TL	01f_ST_TL	Match
01f_TL_CU	01f_TL_CU	Match
01g_AR_CH	01g_AR_CH	Match
01g_AR_CU	01g_AR_CU	Match
01g_AR_PP	01g_AR_PP	Match
01g_AR_ST	01g_AR_ST	Match
01g_AR_TL	01g_AR_TL	Match
01g_CH_CU	01g_CH_CU	Match
01g_CH_TL	01g_CH_TL	Match
01g_PP_CH	01g_PP_CH	Match
01g_PP_CU	01g_PP_CU	Match
01g_PP_TL	01g_PP_TL	Match
01g_ST_CH	01g_ST_CH	Match
01g_ST_CU	01g_ST_CU	Match
01g_ST_PP	01g_ST_PP	Match
01g_ST_TL	01g_ST_TL	Match
01g_TL_CU	01g_TL_CU	Match
02a_AR_CH	02a_AR_CH	Match
02a_AR_CU	02a_AR_CU	Match
02a_AR_PP	02a_AR_PP	Match
02a_AR_ST	02a_AR_ST	Match
02a_AR_TL	02a_AR_TL	Match
02a_CH_CU	02a_CH_CU	Match
02a_CH_TL	02a_CH_TL	Match
02a_PP_CH	02a_PP_CH	Match
02a_PP_CU	02a_PP_CU	Match
02a_PP_TL	02a_PP_TL	Match
02a_ST_CH	02a_ST_CH	Match
02a_ST_CU	02a_ST_CU	Match
02a_ST_PP	02a_ST_PP	Match
02a_ST_TL	02a_ST_TL	Match
02a_TL_CU	02a_TL_CU	Match
02b_AR_CH	02b_AR_CH	Match
02b_AR_CU	02b_AR_CU	Match
02b_AR_PP	02b_AR_PP	Match
02b_AR_ST	02b_AR_ST	Match
02b_AR_TL	02b_AR_TL	Match
02b_CH_CU	02b_CH_CU	Match
02b_CH_TL	02b_CH_TL	Match
02b_PP_CH	02b_PP_CH	Match
02b_PP_CU	02b_PP_CU	Match
02b_PP_TL	02b_PP_TL	Match
02b_ST_CH	02b_ST_CH	Match
02b_ST_CU	02b_ST_CU	Match
02b_ST_PP	02b_ST_PP	Match
02b_ST_TL	02b_ST_TL	Match
02b_TL_CU	02b_TL_CU	Match
02c_AR_CH	02c_AR_CH	Match
02c_AR_CU	02c_AR_CU	Match
02c_AR_PP	02c_AR_PP	Match
02c_AR_ST	02c_AR_ST	Match
02c_AR_TL	02c_AR_TL	Match
02c_CH_CU	02c_CH_CU	Match
02c_CH_TL	02c_CH_TL	Match
02c_PP_CH	02c_PP_CH	Match
02c_PP_CU	02c_PP_CU	Match
02c_PP_TL	02c_PP_TL	Match
02c_ST_CH	02c_ST_CH	Match
02c_ST_CU	02c_ST_CU	Match
02c_ST_PP	02c_ST_PP	Match
02c_ST_TL	02c_ST_TL	Match
02c_TL_CU	02c_TL_CU	Match
03a_AR_CH	03a_AR_CH	Match
03a_AR_CU	03a_AR_CU	Match
03a_AR_PP	03a_AR_PP	Match
03a_AR_ST	03a_AR_ST	Match
03a_AR_TL	03a_AR_TL	Match
03a_CH_CU	03a_CH_CU	Match
03a_CH_TL	03a_CH_TL	Match
03a_PP_CH	03a_PP_CH	Match
03a_PP_CU	03a_PP_CU	Match
03a_PP_TL	03a_PP_TL	Match
03a_ST_CH	03a_ST_CH	Match
03a_ST_CU	03a_ST_CU	Match
03a_ST_PP	03a_ST_PP	Match
03a_ST_TL	03a_ST_TL	Match
03a_TL_CU	03a_TL_CU	Match
03b_AR_CH	03b_AR_CH	Match
03b_AR_CU	03b_AR_CU	Match
03b_AR_PP	03b_AR_PP	Match
03b_AR_ST	03b_AR_ST	Match
03b_AR_TL	03b_AR_TL	Match
03b_CH_CU	03b_CH_CU	Match
03b_CH_TL	03b_CH_TL	Match
03b_PP_CH	03b_PP_CH	Match
03b_PP_CU	03b_PP_CU	Match
03b_PP_TL	03b_PP_TL	Match
03b_ST_CH	03b_ST_CH	Match
03b_ST_CU	03b_ST_CU	Match
03b_ST_PP	03b_ST_PP	Match
03b_ST_TL	03b_ST_TL	Match
03b_TL_CU	03b_TL_CU	Match
03c_AR_CH	03c_AR_CH	Match
03c_AR_CU	03c_AR_CU	Match
03c_AR_PP	03c_AR_PP	Match
03c_AR_ST	03c_AR_ST	Match
03c_AR_TL	03c_AR_TL	Match
03c_CH_CU	03c_CH_CU	Match
03c_CH_TL	03c_CH_TL	Match
03c_PP_CH	03c_PP_CH	Match
03c_PP_CU	03c_PP_CU	Match
03c_PP_TL	03c_PP_TL	Match
03c_ST_CH	03c_ST_CH	Match
03c_ST_CU	03c_ST_CU	Match
03c_ST_PP	03c_ST_PP	Match
03c_ST_TL	03c_ST_TL	Match
03c_TL_CU	03c_TL_CU	Match
03d_AR_CH	03d_AR_CH	Match
03d_AR_CU	03d_AR_CU	Match
03d_AR_PP	03d_AR_PP	Match
03d_AR_ST	03d_AR_ST	Match
03d_AR_TL	03d_AR_TL	Match
03d_CH_CU	03d_CH_CU	Match
03d_CH_TL	03d_CH_TL	Match
03d_PP_CH	03d_PP_CH	Match
03d_PP_CU	03d_PP_CU	Match
03d_PP_TL	03d_PP_TL	Match
03d_ST_CH	03d_ST_CH	Match
03d_ST_CU	03d_ST_CU	Match
03d_ST_PP	03d_ST_PP	Match
03d_ST_TL	03d_ST_TL	Match
03d_TL_CU	03d_TL_CU	Match
03e_AR_CH	03e_AR_CH	Match
03e_AR_CU	03e_AR_CU	Match
03e_AR_PP	03e_AR_PP	Match
03e_AR_ST	03e_AR_ST	Match
03e_AR_TL	03e_AR_TL	Match
03e_CH_CU	03e_CH_CU	Match
03e_CH_TL	03e_CH_TL	Match
03e_PP_CH	03e_PP_CH	Match
03e_PP_CU	03e_PP_CU	Match
03e_PP_TL	03e_PP_TL	Match
03e_ST_CH	03e_ST_CH	Match
03e_ST_CU	03e_ST_CU	Match
03e_ST_PP	03e_ST_PP	Match
03e_ST_TL	03e_ST_TL	Match
03e_TL_CU	03e_TL_CU	Match
03f_AR_CH	03f_AR_CH	Match
03f_AR_CU	03f_AR_CU	Match
03f_AR_PP	03f_AR_PP	Match
03f_AR_ST	03f_AR_ST	Match
03f_AR_TL	03f_AR_TL	Match
03f_CH_CU	03f_CH_CU	Match
03f_CH_TL	03f_CH_TL	Match
03f_PP_CH	03f_PP_CH	Match
03f_PP_CU	03f_PP_CU	Match
03f_PP_TL	03f_PP_TL	Match
03f_ST_CH	03f_ST_CH	Match
03f_ST_CU	03f_ST_CU	Match
03f_ST_PP	03f_ST_PP	Match
03f_ST_TL	03f_ST_TL	Match
03f_TL_CU	03f_TL_CU	Match
03g_AR_CH	03g_AR_CH	Match
03g_AR_CU	03g_AR_CU	Match
03g_AR_PP	03g_AR_PP	Match
03g_AR_ST	03g_AR_ST	Match
03g_AR_TL	03g_AR_TL	Match
03g_CH_CU	03g_CH_CU	Match
03g_CH_TL	03g_CH_TL	Match
03g_PP_CH	03g_PP_CH	Match
03g_PP_CU	03g_PP_CU	Match
03g_PP_TL	03g_PP_TL	Match
03g_ST_CH	03g_ST_CH	Match
03g_ST_CU	03g_ST_CU	Match
03g_ST_PP	03g_ST_PP	Match
03g_ST_TL	03g_ST_TL	Match
03g_TL_CU	03g_TL_CU	Match
03h_AR_CH	03h_AR_CH	Match
03h_AR_CU	03h_AR_CU	Match
03h_AR_PP	03h_AR_PP	Match
03h_AR_ST	03h_AR_ST	Match
03h_AR_TL	03h_AR_TL	Match
03h_CH_CU	03h_CH_CU	Match
03h_CH_TL	03h_CH_TL	Match
03h_PP_CH	03h_PP_CH	Match
03h_PP_CU	03h_PP_CU	Match
03h_PP_TL	03h_PP_TL	Match
03h_ST_CH	03h_ST_CH	Match
03h_ST_CU	03h_ST_CU	Match
03h_ST_PP	03h_ST_PP	Match
03h_ST_TL	03h_ST_TL	Match
03h_TL_CU	03h_TL_CU	Match
03i_AR_CH	03i_AR_CH	Match
03i_AR_CU	03i_AR_CU	Match
03i_AR_PP	03i_AR_PP	Match
03i_AR_ST	03i_AR_ST	Match
03i_AR_TL	03i_AR_TL	Match
03i_CH_CU	03i_CH_CU	Match
03i_CH_TL	03i_CH_TL	Match
03i_PP_CH	03i_PP_CH	Match
03i_PP_CU	03i_PP_CU	Match
03i_PP_TL	03i_PP_TL	Match
03i_ST_CH	03i_ST_CH	Match
03i_ST_CU	03i_ST_CU	Match
03i_ST_PP	03i_ST_PP	Match
03i_ST_TL	03i_ST_TL	Match
03i_TL_CU	03i_TL_CU	Match
03j_AR_CH	03j_AR_CH	Match
03j_AR_CU	03j_AR_CU	Match
03j_AR_PP	03j_AR_PP	Match
03j_AR_ST	03j_AR_ST	Match
03j_AR_TL	03j_AR_TL	Match
03j_CH_CU	03j_CH_CU	Match
03j_CH_TL	03j_CH_TL	Match
03j_PP_CH	03j_PP_CH	Match
03j_PP_CU	03j_PP_CU	Match
03j_PP_TL	03j_PP_TL	Match
03j_ST_CH	03j_ST_CH	Match
03j_ST_CU	03j_ST_CU	Match
03j_ST_PP	03j_ST_PP	Match
03j_ST_TL	03j_ST_TL	Match
03j_TL_CU	03j_TL_CU	Match
03k_AR_CH	03k_AR_CH	Match
03k_AR_CU	03k_AR_CU	Match
03k_AR_PP	03k_AR_PP	Match
03k_AR_ST	03k_AR_ST	Match
03k_AR_TL	03k_AR_TL	Match
03k_CH_CU	03k_CH_CU	Match
03k_CH_TL	03k_CH_TL	Match
03k_PP_CH	03k_PP_CH	Match
03k_PP_CU	03k_PP_CU	Match
03k_PP_TL	03k_PP_TL	Match
03k_ST_CH	03k_ST_CH	Match
03k_ST_CU	03k_ST_CU	Match
03k_ST_PP	03k_ST_PP	Match
03k_ST_TL	03k_ST_TL	Match
03k_TL_CU	03k_TL_CU	Match
03l_AR_CH	03l_AR_CH	Match
03l_AR_CU	03l_AR_CU	Match
03l_AR_PP	03l_AR_PP	Match
03l_AR_ST	03l_AR_ST	Match
03l_AR_TL	03l_AR_TL	Match
03l_CH_CU	03l_CH_CU	Match
03l_CH_TL	03l_CH_TL	Match
03l_PP_CH	03l_PP_CH	Match
03l_PP_CU	03l_PP_CU	Match
03l_PP_TL	03l_PP_TL	Match
03l_ST_CH	03l_ST_CH	Match
03l_ST_CU	03l_ST_CU	Match
03l_ST_PP	03l_ST_PP	Match
03l_ST_TL	03l_ST_TL	Match
03l_TL_CU	03l_TL_CU	Match
03m_AR_CH	03m_AR_CH	Match
03m_AR_CU	03m_AR_CU	Match
03m_AR_PP	03m_AR_PP	Match
03m_AR_ST	03m_AR_ST	Match
03m_AR_TL	03m_AR_TL	Match
03m_CH_CU	03m_CH_CU	Match
03m_CH_TL	03m_CH_TL	Match
03m_PP_CH	03m_PP_CH	Match
03m_PP_CU	03m_PP_CU	Match
03m_PP_TL	03m_PP_TL	Match
03m_ST_CH	03m_ST_CH	Match
03m_ST_CU	03m_ST_CU	Match
03m_ST_PP	03m_ST_PP	Match
03m_ST_TL	03m_ST_TL	Match
03m_TL_CU	03m_TL_CU	Match
03n_AR_CH	03n_AR_CH	Match
03n_AR_CU	03n_AR_CU	Match
03n_AR_PP	03n_AR_PP	Match
03n_AR_ST	03n_AR_ST	Match
03n_AR_TL	03n_AR_TL	Match
03n_CH_CU	03n_CH_CU	Match
03n_CH_TL	03n_CH_TL	Match
03n_PP_CH	03n_PP_CH	Match
03n_PP_CU	03n_PP_CU	Match
03n_PP_TL	03n_PP_TL	Match
03n_ST_CH	03n_ST_CH	Match
03n_ST_CU	03n_ST_CU	Match
03n_ST_PP	03n_ST_PP	Match
03n_ST_TL	03n_ST_TL	Match
03n_TL_CU	03n_TL_CU	Match
03o_AR_CH	03o_AR_CH	Match
03o_AR_CU	03o_AR_CU	Match
03o_AR_PP	03o_AR_PP	Match
03o_AR_ST	03o_AR_ST	Match
03o_AR_TL	03o_AR_TL	Match
03o_CH_CU	03o_CH_CU	Match
03o_CH_TL	03o_CH_TL	Match
03o_PP_CH	03o_PP_CH	Match
03o_PP_CU	03o_PP_CU	Match
03o_PP_TL	03o_PP_TL	Match
03o_ST_CH	03o_ST_CH	Match
03o_ST_CU	03o_ST_CU	Match
03o_ST_PP	03o_ST_PP	Match
03o_ST_TL	03o_ST_TL	Match
03o_TL_CU	03o_TL_CU	Match
03p_AR_CH	03p_AR_CH	Match
03p_AR_CU	03p_AR_CU	Match
03p_AR_PP	03p_AR_PP	Match
03p_AR_ST	03p_AR_ST	Match
03p_AR_TL	03p_AR_TL	Match
03p_CH_CU	03p_CH_CU	Match
03p_CH_TL	03p_CH_TL	Match
03p_PP_CH	03p_PP_CH	Match
03p_PP_CU	03p_PP_CU	Match
03p_PP_TL	03p_PP_TL	Match
03p_ST_CH	03p_ST_CH	Match
03p_ST_CU	03p_ST_CU	Match
03p_ST_PP	03p_ST_PP	Match
03p_ST_TL	03p_ST_TL	Match
03p_TL_CU	03p_TL_CU	Match
03q_AR_CH	03q_AR_CH	Match
03q_AR_CU	03q_AR_CU	Match
03q_AR_PP	03q_AR_PP	Match
03q_AR_ST	03q_AR_ST	Match
03q_AR_TL	03q_AR_TL	Match
03q_CH_CU	03q_CH_CU	Match
03q_CH_TL	03q_CH_TL	Match
03q_PP_CH	03q_PP_CH	Match
03q_PP_CU	03q_PP_CU	Match
03q_PP_TL	03q_PP_TL	Match
03q_ST_CH	03q_ST_CH	Match
03q_ST_CU	03q_ST_CU	Match
03q_ST_PP	03q_ST_PP	Match
03q_ST_TL	03q_ST_TL	Match
03q_TL_CU	03q_TL_CU	Match
04a_AR_CH	04a_AR_CH	Match
04a_AR_CU	04a_AR_CU	Match
04a_AR_PP	04a_AR_PP	Match
04a_AR_ST	04a_AR_ST	Match
04a_AR_TL	04a_AR_TL	Match
04a_CH_CU	04a_CH_CU	Match
04a_CH_TL	04a_CH_TL	Match
04a_PP_CH	04a_PP_CH	Match
04a_PP_CU	04a_PP_CU	Match
04a_PP_TL	04a_PP_TL	Match
04a_ST_CH	04a_ST_CH	Match
04a_ST_CU	04a_ST_CU	Match
04a_ST_PP	04a_ST_PP	Match
04a_ST_TL	04a_ST_TL	Match
04a_TL_CU	04a_TL_CU	Match
04b_AR_CH	04b_AR_CH	Match
04b_AR_CU	04b_AR_CU	Match
04b_AR_PP	04b_AR_PP	Match
04b_AR_ST	04b_AR_ST	Match
04b_AR_TL	04b_AR_TL	Match
04b_CH_CU	04b_CH_CU	Match
04b_CH_TL	04b_CH_TL	Match
04b_PP_CH	04b_PP_CH	Match
04b_PP_CU	04b_PP_CU	Match
04b_PP_TL	04b_PP_TL	Match
04b_ST_CH	04b_ST_CH	Match
04b_ST_CU	04b_ST_CU	Match
04b_ST_PP	04b_ST_PP	Match
04b_ST_TL	04b_ST_TL	Match
04b_TL_CU	04b_TL_CU	Match
04c_AR_CH	04c_AR_CH	Match
04c_AR_CU	04c_AR_CU	Match
04c_AR_PP	04c_AR_PP	Match
04c_AR_ST	04c_AR_ST	Match
04c_AR_TL	04c_AR_TL	Match
04c_CH_CU	04c_CH_CU	Match
04c_CH_TL	04c_CH_TL	Match
04c_PP_CH	04c_PP_CH	Match
04c_PP_CU	04c_PP_CU	Match
04c_PP_TL	04c_PP_TL	Match
04c_ST_CH	04c_ST_CH	Match
04c_ST_CU	04c_ST_CU	Match
04c_ST_PP	04c_ST_PP	Match
04c_ST_TL	04c_ST_TL	Match
04c_TL_CU	04c_TL_CU	Match
04d_AR_CH	04d_AR_CH	Match
04d_AR_CU	04d_AR_CU	Match
04d_AR_PP	04d_AR_PP	Match
04d_AR_ST	04d_AR_ST	Match
04d_AR_TL	04d_AR_TL	Match
04d_CH_CU	04d_CH_CU	Match
04d_CH_TL	04d_CH_TL	Match
04d_PP_CH	04d_PP_CH	Match
04d_PP_CU	04d_PP_CU	Match
04d_PP_TL	04d_PP_TL	Match
04d_ST_CH	04d_ST_CH	Match
04d_ST_CU	04d_ST_CU	Match
04d_ST_PP	04d_ST_PP	Match
04d_ST_TL	04d_ST_TL	Match
04d_TL_CU	04d_TL_CU	Match
04e_AR_CH	04e_AR_CH	Match
04e_AR_CU	04e_AR_CU	Match
04e_AR_PP	04e_AR_PP	Match
04e_AR_ST	04e_AR_ST	Match
04e_AR_TL	04e_AR_TL	Match
04e_CH_CU	04e_CH_CU	Match
04e_CH_TL	04e_CH_TL	Match
04e_PP_CH	04e_PP_CH	Match
04e_PP_CU	04e_PP_CU	Match
04e_PP_TL	04e_PP_TL	Match
04e_ST_CH	04e_ST_CH	Match
04e_ST_CU	04e_ST_CU	Match
04e_ST_PP	04e_ST_PP	Match
04e_ST_TL	04e_ST_TL	Match
04e_TL_CU	04e_TL_CU	Match
05a_AR_CH	05a_AR_CH	Match
05a_AR_CU	05a_AR_CU	Match
05a_AR_PP	05a_AR_PP	Match
05a_AR_ST	05a_AR_ST	Match
05a_AR_TL	05a_AR_TL	Match
05a_CH_CU	05a_CH_CU	Match
05a_CH_TL	05a_CH_TL	Match
05a_PP_CH	05a_PP_CH	Match
05a_PP_CU	05a_PP_CU	Match
05a_PP_TL	05a_PP_TL	Match
05a_ST_CH	05a_ST_CH	Match
05a_ST_CU	05a_ST_CU	Match
05a_ST_PP	05a_ST_PP	Match
05a_ST_TL	05a_ST_TL	Match
05a_TL_CU	05a_TL_CU	Match
05b_AR_CH	05b_AR_CH	Match
05b_AR_CU	05b_AR_CU	Match
05b_AR_PP	05b_AR_PP	Match
05b_AR_ST	05b_AR_ST	Match
05b_AR_TL	05b_AR_TL	Match
05b_CH_CU	05b_CH_CU	Match
05b_CH_TL	05b_CH_TL	Match
05b_PP_CH	05b_PP_CH	Match
05b_PP_CU	05b_PP_CU	Match
05b_PP_TL	05b_PP_TL	Match
05b_ST_CH	05b_ST_CH	Match
05b_ST_CU	05b_ST_CU	Match
05b_ST_PP	05b_ST_PP	Match
05b_ST_TL	05b_ST_TL	Match
05b_TL_CU	05b_TL_CU	Match
05c_AR_CH	05c_AR_CH	Match
05c_AR_CU	05c_AR_CU	Match
05c_AR_PP	05c_AR_PP	Match
05c_AR_ST	05c_AR_ST	Match
05c_AR_TL	05c_AR_TL	Match
05c_CH_CU	05c_CH_CU	Match
05c_CH_TL	05c_CH_TL	Match
05c_PP_CH	05c_PP_CH	Match
05c_PP_CU	05c_PP_CU	Match
05c_PP_TL	05c_PP_TL	Match
05c_ST_CH	05c_ST_CH	Match
05c_ST_CU	05c_ST_CU	Match
05c_ST_PP	05c_ST_PP	Match
05c_ST_TL	05c_ST_TL	Match
05c_TL_CU	05c_TL_CU	Match
06a_AR_CH	06a_AR_CH	Match
06a_AR_CU	06a_AR_CU	Match
06a_AR_PP	06a_AR_PP	Match
06a_AR_ST	06a_AR_ST	Match
06a_AR_TL	06a_AR_TL	Match
06a_CH_CU	06a_CH_CU	Match
06a_CH_TL	06a_CH_TL	Match
06a_PP_CH	06a_PP_CH	Match
06a_PP_CU	06a_PP_CU	Match
06a_PP_TL	06a_PP_TL	Match
06a_ST_CH	06a_ST_CH	Match
06a_ST_CU	06a_ST_CU	Match
06a_ST_PP	06a_ST_PP	Match
06a_ST_TL	06a_ST_TL	Match
06a_TL_CU	06a_TL_CU	Match
07a_AR_CH	07a_AR_CH	Match
07a_AR_CU	07a_AR_CU	Match
07a_AR_PP	07a_AR_PP	Match
07a_AR_ST	07a_AR_ST	Match
07a_AR_TL	07a_AR_TL	Match
07a_CH_CU	07a_CH_CU	Match
